Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
dosage compensation regulator isoform X1 [Tribolium castaneum],Tribolium castaneum,1459,1459,91%,0.0,59.61,1219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015832996.1?report=genbank&log$=prottop&blast_rank=1&RID=J5Y218Y0016"",""XP_015832996.1"")"
dosage compensation regulator isoform X2 [Tribolium castaneum],Tribolium castaneum,1249,1249,75%,0.0,60.83,1025,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008190568.1?report=genbank&log$=prottop&blast_rank=2&RID=J5Y218Y0016"",""XP_008190568.1"")"
Dosage compensation regulator-like Protein [Tribolium castaneum],Tribolium castaneum,454,454,60%,2e-141,36.15,914,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFA08093.1?report=genbank&log$=prottop&blast_rank=3&RID=J5Y218Y0016"",""EFA08093.1"")"
ATP-dependent DNA/RNA helicase DHX36 [Tribolium castaneum],Tribolium castaneum,454,454,60%,5e-141,36.15,948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008196861.1?report=genbank&log$=prottop&blast_rank=4&RID=J5Y218Y0016"",""XP_008196861.1"")"
putative ATP-dependent RNA helicase DHX57 [Tribolium castaneum],Tribolium castaneum,461,461,58%,5e-141,38.07,1241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008192026.1?report=genbank&log$=prottop&blast_rank=5&RID=J5Y218Y0016"",""XP_008192026.1"")"
ATP-dependent RNA helicase DHX30 isoform X2 [Tribolium castaneum],Tribolium castaneum,346,346,53%,2e-101,32.17,971,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008195118.1?report=genbank&log$=prottop&blast_rank=6&RID=J5Y218Y0016"",""XP_008195118.1"")"
Dosage compensation regulator-like Protein [Tribolium castaneum],Tribolium castaneum,345,345,53%,2e-100,32.17,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFA06533.2?report=genbank&log$=prottop&blast_rank=7&RID=J5Y218Y0016"",""EFA06533.2"")"
ATP-dependent RNA helicase DHX30 isoform X1 [Tribolium castaneum],Tribolium castaneum,345,345,53%,2e-100,32.17,1075,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008195117.1?report=genbank&log$=prottop&blast_rank=8&RID=J5Y218Y0016"",""XP_008195117.1"")"
ATP-dependent RNA helicase DHX8 [Tribolium castaneum],Tribolium castaneum,296,296,46%,6e-83,32.00,1181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008198238.1?report=genbank&log$=prottop&blast_rank=9&RID=J5Y218Y0016"",""XP_008198238.1"")"
pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [Tribolium castaneum],Tribolium castaneum,276,276,46%,4e-76,32.01,1186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_064213439.1?report=genbank&log$=prottop&blast_rank=10&RID=J5Y218Y0016"",""XP_064213439.1"")"
probable ATP-dependent RNA helicase spindle-E [Tribolium castaneum],Tribolium castaneum,258,258,43%,1e-69,32.66,1431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_971741.1?report=genbank&log$=prottop&blast_rank=11&RID=J5Y218Y0016"",""XP_971741.1"")"
putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Tribolium castaneum],Tribolium castaneum,246,246,45%,2e-68,29.29,716,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_966364.1?report=genbank&log$=prottop&blast_rank=12&RID=J5Y218Y0016"",""XP_966364.1"")"
3'-5' RNA helicase YTHDC2 isoform X1 [Tribolium castaneum],Tribolium castaneum,253,437,58%,2e-68,33.15,1181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008198757.1?report=genbank&log$=prottop&blast_rank=13&RID=J5Y218Y0016"",""XP_008198757.1"")"
3'-5' RNA helicase YTHDC2 isoform X2 [Tribolium castaneum],Tribolium castaneum,252,437,58%,2e-68,33.15,1171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008198758.1?report=genbank&log$=prottop&blast_rank=14&RID=J5Y218Y0016"",""XP_008198758.1"")"
probable ATP-dependent RNA helicase DHX34 [Tribolium castaneum],Tribolium castaneum,247,247,43%,6e-67,32.36,1085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_973569.2?report=genbank&log$=prottop&blast_rank=15&RID=J5Y218Y0016"",""XP_973569.2"")"
Dosage compensation regulator-like Protein [Tribolium castaneum],Tribolium castaneum,223,223,53%,4e-61,27.31,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEZ99530.1?report=genbank&log$=prottop&blast_rank=16&RID=J5Y218Y0016"",""EEZ99530.1"")"
probable ATP-dependent RNA helicase DHX35 isoform X1 [Tribolium castaneum],Tribolium castaneum,222,222,38%,9e-61,30.56,682,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015833475.2?report=genbank&log$=prottop&blast_rank=17&RID=J5Y218Y0016"",""XP_015833475.2"")"
probable ATP-dependent RNA helicase DHX35 isoform X2 [Tribolium castaneum],Tribolium castaneum,189,189,34%,2e-50,30.43,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_064215960.1?report=genbank&log$=prottop&blast_rank=18&RID=J5Y218Y0016"",""XP_064215960.1"")"
putative ATP-dependent RNA helicase kurz-like Protein [Tribolium castaneum],Tribolium castaneum,192,192,46%,3e-49,27.41,1561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFA05543.2?report=genbank&log$=prottop&blast_rank=19&RID=J5Y218Y0016"",""EFA05543.2"")"
probable ATP-dependent RNA helicase kurz [Tribolium castaneum],Tribolium castaneum,182,182,46%,2e-46,27.20,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008191976.1?report=genbank&log$=prottop&blast_rank=20&RID=J5Y218Y0016"",""XP_008191976.1"")"
