Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
histone acetyltransferase KAT8 [Tribolium castaneum],Tribolium castaneum,496,496,52%,7e-169,54.73,451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_968431.1?report=genbank&log$=prottop&blast_rank=1&RID=J5XXBFKF016"",""XP_968431.1"")"
Histone acetyltransferase Tip60-like Protein [Tribolium castaneum],Tribolium castaneum,318,318,48%,9e-100,40.70,459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFA02454.2?report=genbank&log$=prottop&blast_rank=2&RID=J5XXBFKF016"",""EFA02454.2"")"
histone acetyltransferase Tip60 [Tribolium castaneum],Tribolium castaneum,318,318,48%,9e-100,40.70,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008192200.1?report=genbank&log$=prottop&blast_rank=3&RID=J5XXBFKF016"",""XP_008192200.1"")"
histone acetyltransferase KAT7 isoform X1 [Tribolium castaneum],Tribolium castaneum,304,304,33%,5e-91,48.38,788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008197990.1?report=genbank&log$=prottop&blast_rank=4&RID=J5XXBFKF016"",""XP_008197990.1"")"
Histone acetyltransferase KAT7-like Protein [Tribolium castaneum],Tribolium castaneum,304,304,33%,5e-91,48.38,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFA09802.2?report=genbank&log$=prottop&blast_rank=5&RID=J5XXBFKF016"",""EFA09802.2"")"
histone acetyltransferase KAT6A isoform X4 [Tribolium castaneum],Tribolium castaneum,286,286,33%,3e-81,44.80,2011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008197080.1?report=genbank&log$=prottop&blast_rank=6&RID=J5XXBFKF016"",""XP_008197080.1"")"
histone acetyltransferase KAT6B isoform X1 [Tribolium castaneum],Tribolium castaneum,286,286,33%,3e-81,44.80,2385,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_970807.1?report=genbank&log$=prottop&blast_rank=7&RID=J5XXBFKF016"",""XP_970807.1"")"
histone acetyltransferase KAT6A isoform X3 [Tribolium castaneum],Tribolium castaneum,286,286,33%,4e-81,44.80,2222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015838160.1?report=genbank&log$=prottop&blast_rank=8&RID=J5XXBFKF016"",""XP_015838160.1"")"
histone acetyltransferase KAT6A isoform X2 [Tribolium castaneum],Tribolium castaneum,285,285,33%,6e-81,44.80,2257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_064213338.1?report=genbank&log$=prottop&blast_rank=9&RID=J5XXBFKF016"",""XP_064213338.1"")"
histone acetyltransferase KAT7 isoform X2 [Tribolium castaneum],Tribolium castaneum,171,171,14%,2e-44,53.66,640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015839125.1?report=genbank&log$=prottop&blast_rank=10&RID=J5XXBFKF016"",""XP_015839125.1"")"



		


