Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Uncharacterized protein R102.4-like Protein [Tribolium castaneum],Tribolium castaneum,157,157,93%,5e-41,28.60,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYB25873.1?report=genbank&log$=prottop&blast_rank=1&RID=J5XU0VVV016"",""KYB25873.1"")"
Uncharacterized protein R102.4-like Protein [Tribolium castaneum],Tribolium castaneum,158,158,93%,6e-41,28.60,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYB25871.1?report=genbank&log$=prottop&blast_rank=2&RID=J5XU0VVV016"",""KYB25871.1"")"
male-specific lethal 3 homolog [Tribolium castaneum],Tribolium castaneum,138,138,93%,1e-35,26.60,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015839666.1?report=genbank&log$=prottop&blast_rank=3&RID=J5XU0VVV016"",""XP_015839666.1"")"
male-specific lethal 3 homolog [Tribolium castaneum],Tribolium castaneum,133,133,93%,6e-34,26.39,427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_970319.1?report=genbank&log$=prottop&blast_rank=4&RID=J5XU0VVV016"",""XP_970319.1"")"
Uncharacterized protein R102.4-like Protein [Tribolium castaneum],Tribolium castaneum,128,128,93%,2e-31,26.20,570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYB25874.1?report=genbank&log$=prottop&blast_rank=5&RID=J5XU0VVV016"",""KYB25874.1"")"



		


